year,quarter,state,state_code,state_full,HPI_state
1975,1,AK,2,Alaska,61.580002
1975,2,AK,2,Alaska,63.060001
1975,3,AK,2,Alaska,67.699997
1975,4,AK,2,Alaska,66.779999
1976,1,AK,2,Alaska,73.07
1976,2,AK,2,Alaska,71.330002
1976,3,AK,2,Alaska,73.449997
1976,4,AK,2,Alaska,73.889999
1977,1,AK,2,Alaska,78.389999
1977,2,AK,2,Alaska,75.68
1977,3,AK,2,Alaska,78.089996
1977,4,AK,2,Alaska,79.959999
1978,1,AK,2,Alaska,76.43
1978,2,AK,2,Alaska,85.489998
1978,3,AK,2,Alaska,87.25
1978,4,AK,2,Alaska,86.379997
1979,1,AK,2,Alaska,88.25
1979,2,AK,2,Alaska,99.639999
1979,3,AK,2,Alaska,95.769997
1979,4,AK,2,Alaska,94.669998
1980,1,AK,2,Alaska,100
1980,2,AK,2,Alaska,82.160004
1980,3,AK,2,Alaska,71.339996
1980,4,AK,2,Alaska,92.18
1981,1,AK,2,Alaska,87.269997
1981,2,AK,2,Alaska,107.24
1981,3,AK,2,Alaska,114.88
1981,4,AK,2,Alaska,127.34
1982,1,AK,2,Alaska,134.42999
1982,2,AK,2,Alaska,128.62
1982,3,AK,2,Alaska,139.12
1982,4,AK,2,Alaska,137.99001
1983,1,AK,2,Alaska,137.16
1983,2,AK,2,Alaska,138.89999
1983,3,AK,2,Alaska,144.60001
1983,4,AK,2,Alaska,144.36
1984,1,AK,2,Alaska,148.16
1984,2,AK,2,Alaska,146.21001
1984,3,AK,2,Alaska,152.5
1984,4,AK,2,Alaska,150.53999
1985,1,AK,2,Alaska,143.10001
1985,2,AK,2,Alaska,143.42
1985,3,AK,2,Alaska,143.53
1985,4,AK,2,Alaska,140.17
1986,1,AK,2,Alaska,140.92999
1986,2,AK,2,Alaska,143.23
1986,3,AK,2,Alaska,138.71001
1986,4,AK,2,Alaska,135.41
1987,1,AK,2,Alaska,132.06
1987,2,AK,2,Alaska,122.58
1987,3,AK,2,Alaska,114.65
1987,4,AK,2,Alaska,103.73
1988,1,AK,2,Alaska,119.96
1988,2,AK,2,Alaska,113.97
1988,3,AK,2,Alaska,125.14
1988,4,AK,2,Alaska,130.45
1989,1,AK,2,Alaska,126.95
1989,2,AK,2,Alaska,102.95
1989,3,AK,2,Alaska,102.86
1989,4,AK,2,Alaska,100.81
1990,1,AK,2,Alaska,97.449997
1990,2,AK,2,Alaska,110.8
1990,3,AK,2,Alaska,120.32
1990,4,AK,2,Alaska,117.88
1991,1,AK,2,Alaska,122.87
1991,2,AK,2,Alaska,125.66
1991,3,AK,2,Alaska,129.63
1991,4,AK,2,Alaska,129.88
1992,1,AK,2,Alaska,131.25
1992,2,AK,2,Alaska,132.73
1992,3,AK,2,Alaska,133.48
1992,4,AK,2,Alaska,134.2
1993,1,AK,2,Alaska,133.91
1993,2,AK,2,Alaska,134.42999
1993,3,AK,2,Alaska,136.69
1993,4,AK,2,Alaska,137.42999
1994,1,AK,2,Alaska,138.64
1994,2,AK,2,Alaska,141.81
1994,3,AK,2,Alaska,143.92999
1994,4,AK,2,Alaska,142.63
1995,1,AK,2,Alaska,145.16
1995,2,AK,2,Alaska,147.53
1995,3,AK,2,Alaska,149.03999
1995,4,AK,2,Alaska,149.14
1996,1,AK,2,Alaska,151.95
1996,2,AK,2,Alaska,154.34
1996,3,AK,2,Alaska,155.2
1996,4,AK,2,Alaska,156.89
1997,1,AK,2,Alaska,156.75999
1997,2,AK,2,Alaska,157.94
1997,3,AK,2,Alaska,159.17
1997,4,AK,2,Alaska,161.10001
1998,1,AK,2,Alaska,160.96001
1998,2,AK,2,Alaska,163.61
1998,3,AK,2,Alaska,165.05
1998,4,AK,2,Alaska,164.89999
1999,1,AK,2,Alaska,166.85001
1999,2,AK,2,Alaska,170.37
1999,3,AK,2,Alaska,169.92
1999,4,AK,2,Alaska,170.08
2000,1,AK,2,Alaska,169.95
2000,2,AK,2,Alaska,172.03
2000,3,AK,2,Alaska,173.14
2000,4,AK,2,Alaska,173.77
2001,1,AK,2,Alaska,176.72
2001,2,AK,2,Alaska,180.28999
2001,3,AK,2,Alaska,182.97
2001,4,AK,2,Alaska,183.22
2002,1,AK,2,Alaska,186.17
2002,2,AK,2,Alaska,191.31
2002,3,AK,2,Alaska,192.73
2002,4,AK,2,Alaska,192.3
2003,1,AK,2,Alaska,193.50999
2003,2,AK,2,Alaska,196.55
2003,3,AK,2,Alaska,200.96001
2003,4,AK,2,Alaska,208.63
2004,1,AK,2,Alaska,210.14
2004,2,AK,2,Alaska,215.25
2004,3,AK,2,Alaska,226.3
2004,4,AK,2,Alaska,228.64
2005,1,AK,2,Alaska,234.28
2005,2,AK,2,Alaska,243.42
2005,3,AK,2,Alaska,251.89999
2005,4,AK,2,Alaska,259.48999
2006,1,AK,2,Alaska,263.51001
2006,2,AK,2,Alaska,270.13
2006,3,AK,2,Alaska,275.25
2006,4,AK,2,Alaska,276.95001
2007,1,AK,2,Alaska,280.79999
2007,2,AK,2,Alaska,283.69
2007,3,AK,2,Alaska,282.34
2007,4,AK,2,Alaska,281.87
2008,1,AK,2,Alaska,281.75
2008,2,AK,2,Alaska,282.06
2008,3,AK,2,Alaska,278.89999
2008,4,AK,2,Alaska,281.37
2009,1,AK,2,Alaska,281.84
2009,2,AK,2,Alaska,278.98999
2009,3,AK,2,Alaska,277.88
2009,4,AK,2,Alaska,279.39001
2010,1,AK,2,Alaska,275.14999
2010,2,AK,2,Alaska,277.42999
2010,3,AK,2,Alaska,278.97
2010,4,AK,2,Alaska,279.79001
2011,1,AK,2,Alaska,279.70999
2011,2,AK,2,Alaska,279.03
2011,3,AK,2,Alaska,279.76999
2011,4,AK,2,Alaska,282.01001
2012,1,AK,2,Alaska,279.73001
2012,2,AK,2,Alaska,279.48999
2012,3,AK,2,Alaska,281.79001
2012,4,AK,2,Alaska,284.45999
2013,1,AK,2,Alaska,287.81
2013,2,AK,2,Alaska,288.73001
2013,3,AK,2,Alaska,291.82999
2013,4,AK,2,Alaska,292.64001
2014,1,AK,2,Alaska,289.95001
2014,2,AK,2,Alaska,296.35001
2014,3,AK,2,Alaska,299.44
2014,4,AK,2,Alaska,299.62
2015,1,AK,2,Alaska,301.54999
2015,2,AK,2,Alaska,304.54001
2015,3,AK,2,Alaska,307.87
2015,4,AK,2,Alaska,310.69
2016,1,AK,2,Alaska,311.12
2016,2,AK,2,Alaska,313.64001
2016,3,AK,2,Alaska,315.16
2016,4,AK,2,Alaska,312.79001
2017,1,AK,2,Alaska,314.69
2017,2,AK,2,Alaska,316.51999
2017,3,AK,2,Alaska,319.76999
2017,4,AK,2,Alaska,323.91
2018,1,AK,2,Alaska,321.22
2018,2,AK,2,Alaska,324.82001
2018,3,AK,2,Alaska,326.22
2018,4,AK,2,Alaska,325.14001
1975,1,AL,1,Alabama,73.110001
1975,2,AL,1,Alabama,72.120003
1975,3,AL,1,Alabama,74.519997
1975,4,AL,1,Alabama,70.970001
1976,1,AL,1,Alabama,76.879997
1976,2,AL,1,Alabama,76.660004
1976,3,AL,1,Alabama,77.25
1976,4,AL,1,Alabama,79.699997
1977,1,AL,1,Alabama,81.639999
1977,2,AL,1,Alabama,83.639999
1977,3,AL,1,Alabama,88.300003
1977,4,AL,1,Alabama,89.370003
1978,1,AL,1,Alabama,88.610001
1978,2,AL,1,Alabama,88.919998
1978,3,AL,1,Alabama,96.739998
1978,4,AL,1,Alabama,96.370003
1979,1,AL,1,Alabama,100.04
1979,2,AL,1,Alabama,100.49
1979,3,AL,1,Alabama,102.06
1979,4,AL,1,Alabama,108.81
1980,1,AL,1,Alabama,100
1980,2,AL,1,Alabama,103.83
1980,3,AL,1,Alabama,110.21
1980,4,AL,1,Alabama,109.45
1981,1,AL,1,Alabama,105.76
1981,2,AL,1,Alabama,109.49
1981,3,AL,1,Alabama,113.31
1981,4,AL,1,Alabama,107.14
1982,1,AL,1,Alabama,109.39
1982,2,AL,1,Alabama,108.11
1982,3,AL,1,Alabama,107.86
1982,4,AL,1,Alabama,115.25
1983,1,AL,1,Alabama,115.07
1983,2,AL,1,Alabama,114.41
1983,3,AL,1,Alabama,117.43
1983,4,AL,1,Alabama,114.5
1984,1,AL,1,Alabama,124.05
1984,2,AL,1,Alabama,120.52
1984,3,AL,1,Alabama,125.27
1984,4,AL,1,Alabama,121.91
1985,1,AL,1,Alabama,121.93
1985,2,AL,1,Alabama,125.05
1985,3,AL,1,Alabama,127.9
1985,4,AL,1,Alabama,128.87
1986,1,AL,1,Alabama,129.83
1986,2,AL,1,Alabama,132.28
1986,3,AL,1,Alabama,134.12
1986,4,AL,1,Alabama,136.39
1987,1,AL,1,Alabama,138.50999
1987,2,AL,1,Alabama,139.39
1987,3,AL,1,Alabama,140.08
1987,4,AL,1,Alabama,138.62
1988,1,AL,1,Alabama,142.59
1988,2,AL,1,Alabama,143.61
1988,3,AL,1,Alabama,143.07001
1988,4,AL,1,Alabama,141.84
1989,1,AL,1,Alabama,142.03999
1989,2,AL,1,Alabama,143.77
1989,3,AL,1,Alabama,146.11
1989,4,AL,1,Alabama,147.17999
1990,1,AL,1,Alabama,145.99001
1990,2,AL,1,Alabama,147.22
1990,3,AL,1,Alabama,147.88
1990,4,AL,1,Alabama,148.00999
1991,1,AL,1,Alabama,149.17
1991,2,AL,1,Alabama,151.55
1991,3,AL,1,Alabama,152.28
1991,4,AL,1,Alabama,154.78999
1992,1,AL,1,Alabama,156.08
1992,2,AL,1,Alabama,156.35001
1992,3,AL,1,Alabama,159.25999
1992,4,AL,1,Alabama,160.52
1993,1,AL,1,Alabama,161.71001
1993,2,AL,1,Alabama,163.46001
1993,3,AL,1,Alabama,166.32001
1993,4,AL,1,Alabama,167.74001
1994,1,AL,1,Alabama,168.82001
1994,2,AL,1,Alabama,171
1994,3,AL,1,Alabama,171.52
1994,4,AL,1,Alabama,171.75999
1995,1,AL,1,Alabama,173.37
1995,2,AL,1,Alabama,176.75999
1995,3,AL,1,Alabama,179.52
1995,4,AL,1,Alabama,180.89
1996,1,AL,1,Alabama,184.17
1996,2,AL,1,Alabama,184.10001
1996,3,AL,1,Alabama,184.55
1996,4,AL,1,Alabama,186.67
1997,1,AL,1,Alabama,188.61
1997,2,AL,1,Alabama,190.03999
1997,3,AL,1,Alabama,192.87
1997,4,AL,1,Alabama,195.41
1998,1,AL,1,Alabama,198.67999
1998,2,AL,1,Alabama,200.34
1998,3,AL,1,Alabama,202.42
1998,4,AL,1,Alabama,204.92
1999,1,AL,1,Alabama,205.56
1999,2,AL,1,Alabama,206.34
1999,3,AL,1,Alabama,206.77
1999,4,AL,1,Alabama,208.33
2000,1,AL,1,Alabama,209.11
2000,2,AL,1,Alabama,210.87
2000,3,AL,1,Alabama,212.53
2000,4,AL,1,Alabama,215.28999
2001,1,AL,1,Alabama,221.53999
2001,2,AL,1,Alabama,222.49001
2001,3,AL,1,Alabama,224.06
2001,4,AL,1,Alabama,226.61
2002,1,AL,1,Alabama,227.00999
2002,2,AL,1,Alabama,228.19
2002,3,AL,1,Alabama,231.58
2002,4,AL,1,Alabama,234.24001
2003,1,AL,1,Alabama,236.59
2003,2,AL,1,Alabama,238.7
2003,3,AL,1,Alabama,240.37
2003,4,AL,1,Alabama,241.84
2004,1,AL,1,Alabama,244.2
2004,2,AL,1,Alabama,245.72
2004,3,AL,1,Alabama,250.17
2004,4,AL,1,Alabama,254
2005,1,AL,1,Alabama,257.32999
2005,2,AL,1,Alabama,263.45999
2005,3,AL,1,Alabama,268.98001
2005,4,AL,1,Alabama,274.37
2006,1,AL,1,Alabama,279.88
2006,2,AL,1,Alabama,284.54001
2006,3,AL,1,Alabama,289.16
2006,4,AL,1,Alabama,294.63
2007,1,AL,1,Alabama,296.60001
2007,2,AL,1,Alabama,300.82001
2007,3,AL,1,Alabama,301.39001
2007,4,AL,1,Alabama,303.76999
2008,1,AL,1,Alabama,305.72
2008,2,AL,1,Alabama,304.48999
2008,3,AL,1,Alabama,302.22
2008,4,AL,1,Alabama,303.85001
2009,1,AL,1,Alabama,306.01001
2009,2,AL,1,Alabama,302.54999
2009,3,AL,1,Alabama,295.38
2009,4,AL,1,Alabama,294.41
2010,1,AL,1,Alabama,290.26999
2010,2,AL,1,Alabama,286.01999
2010,3,AL,1,Alabama,289.76001
2010,4,AL,1,Alabama,287.45001
2011,1,AL,1,Alabama,279.79001
2011,2,AL,1,Alabama,275.82999
2011,3,AL,1,Alabama,278.29999
2011,4,AL,1,Alabama,280.39999
2012,1,AL,1,Alabama,277.67001
2012,2,AL,1,Alabama,275.95001
2012,3,AL,1,Alabama,277.79001
2012,4,AL,1,Alabama,278.25
2013,1,AL,1,Alabama,275.42999
2013,2,AL,1,Alabama,276.04001
2013,3,AL,1,Alabama,275.42001
2013,4,AL,1,Alabama,274.23001
2014,1,AL,1,Alabama,276.26001
2014,2,AL,1,Alabama,277.37
2014,3,AL,1,Alabama,280.20001
2014,4,AL,1,Alabama,281.87
2015,1,AL,1,Alabama,284.82999
2015,2,AL,1,Alabama,286.13
2015,3,AL,1,Alabama,288.35999
2015,4,AL,1,Alabama,289.95001
2016,1,AL,1,Alabama,291.10999
2016,2,AL,1,Alabama,294.94
2016,3,AL,1,Alabama,300.16
2016,4,AL,1,Alabama,299.39001
2017,1,AL,1,Alabama,300.78
2017,2,AL,1,Alabama,305.53
2017,3,AL,1,Alabama,308.95999
2017,4,AL,1,Alabama,311.17999
2018,1,AL,1,Alabama,312.82999
2018,2,AL,1,Alabama,319.98999
2018,3,AL,1,Alabama,326.10001
2018,4,AL,1,Alabama,325.20999
1975,1,AR,5,Arkansas,66.550003
1975,2,AR,5,Arkansas,60.529999
1975,3,AR,5,Arkansas,65.519997
1975,4,AR,5,Arkansas,62.810001
1976,1,AR,5,Arkansas,66.669998
1976,2,AR,5,Arkansas,68.699997
1976,3,AR,5,Arkansas,71.639999
1976,4,AR,5,Arkansas,72.5
1977,1,AR,5,Arkansas,73.610001
1977,2,AR,5,Arkansas,75.389999
1977,3,AR,5,Arkansas,78.889999
1977,4,AR,5,Arkansas,81.699997
1978,1,AR,5,Arkansas,81.610001
1978,2,AR,5,Arkansas,83.650002
1978,3,AR,5,Arkansas,86.360001
1978,4,AR,5,Arkansas,85.940002
1979,1,AR,5,Arkansas,92.650002
1979,2,AR,5,Arkansas,95.800003
1979,3,AR,5,Arkansas,100.55
1979,4,AR,5,Arkansas,102.15
1980,1,AR,5,Arkansas,100
1980,2,AR,5,Arkansas,101.35
1980,3,AR,5,Arkansas,106.83
1980,4,AR,5,Arkansas,108.93
1981,1,AR,5,Arkansas,110.09
1981,2,AR,5,Arkansas,107.2
1981,3,AR,5,Arkansas,110.79
1981,4,AR,5,Arkansas,102.86
1982,1,AR,5,Arkansas,104.01
1982,2,AR,5,Arkansas,106.45
1982,3,AR,5,Arkansas,111.28
1982,4,AR,5,Arkansas,109.38
1983,1,AR,5,Arkansas,113.53
1983,2,AR,5,Arkansas,117.12
1983,3,AR,5,Arkansas,118.6
1983,4,AR,5,Arkansas,119.03
1984,1,AR,5,Arkansas,120.85
1984,2,AR,5,Arkansas,118.9
1984,3,AR,5,Arkansas,119.91
1984,4,AR,5,Arkansas,121.42
1985,1,AR,5,Arkansas,121.82
1985,2,AR,5,Arkansas,120.33
1985,3,AR,5,Arkansas,124.44
1985,4,AR,5,Arkansas,124.91
1986,1,AR,5,Arkansas,126.15
1986,2,AR,5,Arkansas,129.05
1986,3,AR,5,Arkansas,126.88
1986,4,AR,5,Arkansas,128.63
1987,1,AR,5,Arkansas,129.71001
1987,2,AR,5,Arkansas,131.32001
1987,3,AR,5,Arkansas,128.02
1987,4,AR,5,Arkansas,124.58
1988,1,AR,5,Arkansas,127.05
1988,2,AR,5,Arkansas,127.74
1988,3,AR,5,Arkansas,127.35
1988,4,AR,5,Arkansas,126.67
1989,1,AR,5,Arkansas,127.72
1989,2,AR,5,Arkansas,127.32
1989,3,AR,5,Arkansas,128.7
1989,4,AR,5,Arkansas,127.56
1990,1,AR,5,Arkansas,128.13
1990,2,AR,5,Arkansas,128.41
1990,3,AR,5,Arkansas,129.3
1990,4,AR,5,Arkansas,128.63
1991,1,AR,5,Arkansas,130
1991,2,AR,5,Arkansas,130.75
1991,3,AR,5,Arkansas,131.89999
1991,4,AR,5,Arkansas,134.11
1992,1,AR,5,Arkansas,135.14999
1992,2,AR,5,Arkansas,134.33
1992,3,AR,5,Arkansas,136.85001
1992,4,AR,5,Arkansas,137.61
1993,1,AR,5,Arkansas,138.86
1993,2,AR,5,Arkansas,141.03
1993,3,AR,5,Arkansas,143.52
1993,4,AR,5,Arkansas,145.25999
1994,1,AR,5,Arkansas,148.17999
1994,2,AR,5,Arkansas,149.39999
1994,3,AR,5,Arkansas,151.03999
1994,4,AR,5,Arkansas,152.55
1995,1,AR,5,Arkansas,153.10001
1995,2,AR,5,Arkansas,157.28999
1995,3,AR,5,Arkansas,159.3
1995,4,AR,5,Arkansas,159.96001
1996,1,AR,5,Arkansas,162.57001
1996,2,AR,5,Arkansas,162.67999
1996,3,AR,5,Arkansas,162.57001
1996,4,AR,5,Arkansas,164.38
1997,1,AR,5,Arkansas,165.8
1997,2,AR,5,Arkansas,167.42
1997,3,AR,5,Arkansas,168.13
1997,4,AR,5,Arkansas,170.23
1998,1,AR,5,Arkansas,172.25
1998,2,AR,5,Arkansas,172.22
1998,3,AR,5,Arkansas,174.89
1998,4,AR,5,Arkansas,177
1999,1,AR,5,Arkansas,177.7
1999,2,AR,5,Arkansas,177.98
1999,3,AR,5,Arkansas,178.67
1999,4,AR,5,Arkansas,179.28
2000,1,AR,5,Arkansas,180.14
2000,2,AR,5,Arkansas,181.91
2000,3,AR,5,Arkansas,182.92999
2000,4,AR,5,Arkansas,185.42
2001,1,AR,5,Arkansas,190.02
2001,2,AR,5,Arkansas,191.19
2001,3,AR,5,Arkansas,193.16
2001,4,AR,5,Arkansas,195.10001
2002,1,AR,5,Arkansas,195.88
2002,2,AR,5,Arkansas,196.75
2002,3,AR,5,Arkansas,199.94
2002,4,AR,5,Arkansas,202.39999
2003,1,AR,5,Arkansas,203.92999
2003,2,AR,5,Arkansas,205.2
2003,3,AR,5,Arkansas,207.78
2003,4,AR,5,Arkansas,210.78
2004,1,AR,5,Arkansas,213.50999
2004,2,AR,5,Arkansas,217.06
2004,3,AR,5,Arkansas,220.59
2004,4,AR,5,Arkansas,224.44
2005,1,AR,5,Arkansas,227.63
2005,2,AR,5,Arkansas,232.77
2005,3,AR,5,Arkansas,237.99001
2005,4,AR,5,Arkansas,241.19
2006,1,AR,5,Arkansas,244.85001
2006,2,AR,5,Arkansas,248.28
2006,3,AR,5,Arkansas,250.81
2006,4,AR,5,Arkansas,253.17
2007,1,AR,5,Arkansas,255.36
