year,month,FRM30_rate,treasury_3mon_rate
2000,1,8.21,5.3200002
2000,2,8.3249998,5.5500002
2000,3,8.2399998,5.6900001
2000,4,8.1525002,5.6599998
2000,5,8.5150003,5.79
2000,6,8.2880001,5.6900001
2000,7,8.1475,5.96
2000,8,8.0275002,6.0900002
2000,9,7.9120002,6
2000,10,7.7950001,6.1100001
2000,11,7.7449999,6.1700001
2000,12,7.382,5.77
2001,1,7.0325003,5.1500001
2001,2,7.0500002,4.8800001
2001,3,6.9520001,4.4200001
2001,4,7.0774999,3.8699999
2001,5,7.145,3.6199999
2001,6,7.1599998,3.49
2001,7,7.1275001,3.51
2001,8,6.9499998,3.3599999
2001,9,6.8175001,2.6400001
2001,10,6.6174998,2.1600001
2001,11,6.658,1.87
2001,12,7.0650001,1.6900001
2002,1,6.9974999,1.65
2002,2,6.8924999,1.72
2002,3,7.0139999,1.79
2002,4,6.9850001,1.71
2002,5,6.8060002,1.73
2002,6,6.6500001,1.7
2002,7,6.4850001,1.6799999
2002,8,6.29,1.62
2002,9,6.0924997,1.63
2002,10,6.1125002,1.58
2002,11,6.0680003,1.23
2002,12,6.0475001,1.1900001
2003,1,5.9159999,1.17
2003,2,5.8425002,1.17
2003,3,5.7449999,1.13
2003,4,5.8125,1.13
2003,5,5.4839997,1.0700001
2003,6,5.23,.92000002
2003,7,5.6325002,.89999998
2003,8,6.2639999,.94999999
2003,9,6.1475,.94
2003,10,5.9520001,.92000002
2003,11,5.9324999,.93000001
2003,12,5.8759999,.89999998
2004,1,5.7124996,.88
2004,2,5.6349998,.93000001
2004,3,5.4450002,.94
2004,4,5.8299999,.94
2004,5,6.27,1.02
2004,6,6.2875004,1.27
2004,7,6.0560002,1.33
2004,8,5.8674998,1.48
2004,9,5.7539997,1.65
2004,10,5.7224998,1.76
2004,11,5.73,2.0699999
2004,12,5.7519999,2.1900001
2005,1,5.71,2.3299999
2005,2,5.6275001,2.54
2005,3,5.928,2.74
2005,4,5.855,2.78
2005,5,5.7200003,2.8399999
2005,6,5.5820003,2.97
2005,7,5.6949997,3.22
2005,8,5.8200002,3.4400001
2005,9,5.7740002,3.4200001
2005,10,6.0650001,3.71
2005,11,6.3299999,3.8800001
2005,12,6.2720003,3.8900001
2006,1,6.145,4.2399998
2006,2,6.2525001,4.4299998
2006,3,6.3239999,4.5100002
2006,4,6.5074997,4.5999999
2006,5,6.5974998,4.7199998
2006,6,6.6820002,4.79
2006,7,6.7624998,4.9499998
2006,8,6.5240002,4.96
2006,9,6.4025002,4.8099999
2006,10,6.3575001,4.9200001
2006,11,6.2399998,4.9400001
2006,12,6.1350002,4.8499999
2007,1,6.2174997,4.98
2007,2,6.2849998,5.0300002
2007,3,6.1559997,4.9400001
2007,4,6.1799998,4.8699999
2007,5,6.2620001,4.73
2007,6,6.6575003,4.6100001
2007,7,6.6950002,4.8200002
2007,8,6.572,4.1999998
2007,9,6.3825002,3.8900001
2007,10,6.375,3.9000001
2007,11,6.2079997,3.27
2007,12,6.0950003,3
2008,1,5.7579999,2.75
2008,2,5.9175,2.1199999
2008,3,5.9700003,1.26
2008,4,5.9175,1.29
2008,5,6.0360003,1.73
2008,6,6.3200002,1.86
2008,7,6.4260001,1.63
2008,8,6.4775,1.72
2008,9,6.0374999,1.13
2008,10,6.1999998,.67000002
2008,11,6.0874996,.19
2008,12,5.2859998,.029999999
2009,1,5.0475001,.13
2009,2,5.1300001,.30000001
2009,3,5.0025001,.20999999
2009,4,4.8099999,.16
2009,5,4.8575001,.18000001
2009,6,5.4200001,.18000001
2009,7,5.2220001,.18000001
2009,8,5.1925001,.17
2009,9,5.0574999,.12
2009,10,4.9520001,.07
2009,11,4.875,.050000001
2009,12,4.9299998,.050000001
2010,1,5.0299997,.059999999
2010,2,4.9899998,.11
2010,3,4.9674997,.15000001
2010,4,5.098,.16
2010,5,4.8874998,.16
2010,6,4.7375002,.12
2010,7,4.5640001,.16
2010,8,4.4274998,.16
2010,9,4.3460002,.15000001
2010,10,4.2249999,.13
2010,11,4.3000002,.14
2010,12,4.7140002,.14
2011,1,4.7550001,.15000001
2011,2,4.9524999,.13
2011,3,4.836,.1
2011,4,4.8400002,.059999999
2011,5,4.6374998,.039999999
2011,6,4.5100002,.039999999
2011,7,4.5450001,.039999999
2011,8,4.27,.02
2011,9,4.1059999,.0099999998
2011,10,4.0675001,.02
2011,11,3.9925001,.0099999998
2011,12,3.9579999,.0099999998
2012,1,3.915,.029999999
2012,2,3.8899999,.090000004
2012,3,3.954,.079999998
2012,4,3.9100001,.079999998
2012,5,3.7979999,.090000004
2012,6,3.6750002,.090000004
2012,7,3.55,.1
2012,8,3.602,.1
2012,9,3.4974999,.11
2012,10,3.3824999,.1
2012,11,3.352,.090000004
2012,12,3.3449998,.07
2013,1,3.414,.07
2013,2,3.5325,.1
2013,3,3.5650001,.090000004
2013,4,3.4450002,.059999999
2013,5,3.536,.039999999
2013,6,4.0700002,.050000001
2013,7,4.3699999,.039999999
2013,8,4.4559999,.039999999
2013,9,4.4900002,.02
2013,10,4.1919999,.050000001
2013,11,4.2550001,.07
2013,12,4.4575,.07
2014,1,4.4320002,.039999999
2014,2,4.3024998,.050000001
2014,3,4.3425002,.050000001
2014,4,4.3375001,.029999999
2014,5,4.1919999,.029999999
2014,6,4.1624999,.039999999
2014,7,4.1300001,.029999999
2014,8,4.1149998,.029999999
2014,9,4.1624999,.02
2014,10,4.0360003,.02
2014,11,3.9974999,.02
2014,12,3.8640001,.029999999
2015,1,3.6700001,.029999999
2015,2,3.71,.02
2015,3,3.77,.029999999
2015,4,3.6720002,.02
2015,5,3.8399999,.02
2015,6,3.9825001,.02
2015,7,4.046,.029999999
2015,8,3.905,.07
2015,9,3.8900001,.02
2015,10,3.796,.02
2015,11,3.9425001,.12
2015,12,3.964,.23
2016,1,3.8724999,.25999999
2016,2,3.6600001,.31
2016,3,3.694,.28999999
2016,4,3.605,.23
2016,5,3.5999999,.27000001
2016,6,3.5680001,.27000001
2016,7,3.4400001,.30000001
2016,8,3.4349999,.30000001
2016,9,3.46,.28999999
2016,10,3.47,.33000001
2016,11,3.77,.44999999
2016,12,4.198,.50999999
2017,1,4.1500001,.50999999
2017,2,4.1675,.51999998
2017,3,4.1960001,.74000001
2017,4,4.0450001,.80000001
2017,5,4.0100002,.88999999
2017,6,3.904,.98000002
2017,7,3.9675002,1.0700001
2017,8,3.8800001,1.01
2017,9,3.8049998,1.03
2017,10,3.895,1.0700001
2017,11,3.9220002,1.23
2017,12,3.95,1.3200001
2018,1,4.0325003,1.41
2018,2,4.3299999,1.5700001
2018,3,4.4439998,1.7
2018,4,4.4674997,1.76
2018,5,4.586,1.86
2018,6,4.5700002,1.9
2018,7,4.5275002,1.96
2018,8,4.5500002,2.03
2018,9,4.6275001,2.1300001
2018,10,4.8299999,2.25
2018,11,4.8660002,2.3299999
2018,12,4.6374998,2.3699999
2019,1,4.4639997,2.3699999
2019,2,4.3699999,2.3900001
2019,3,4.2649999,2.4000001
